hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|FL,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Aetna,Better Health Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",9192.89,9192.89,9192.89,1 through 10,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,,[Outpatient Services: Payer leverages Medicare payment methodology that is excluded from the Medicare Inpatient Prospective Payment System (IPPS) and Outpatient Prospective Payment System (OPPS). Medicare logic based on reasonable costs.],,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Avmed,All Commercial Plans,,54,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Bcbs,Tier 2 All Commercial Plans,,,[Lesser Than Charges paid at %: 100] [OP Surg. Group 1 ($): FEE SCHEDULE] [OP Surg. Group 2  (%BC): 47.20 Maximum Reimbursement 15424] [OP Surg. Group 3  (%BC): 47.20 Maximum Reimbursement 15424] [OP Surg. Group 4  (%BC): 47.20 Maximum Reimbursement 15424] [OP Surg. Group 5 ($): FEE SCHEDULE] [OP Surg. Group 6 ($): FEE SCHEDULE] [OP Surg. Group 7 ($): FEE SCHEDULE] [OP Surg. Group 8 ($): FEE SCHEDULE] [OP Surg. Group 9 ($): FEE SCHEDULE] [OP Surg. Group 10 ($): FEE SCHEDULE] [OP Surg. Ungroupable ($): 9996] [Cardiac Cath ($): 13271] [Lithotripsy ($): 10616] [PTCA (%BC): 50.26 Maximum Reimbursement 70450] [Observation (%BC): 51.79 Maximum Reimbursement 17120] [Emergency Department ($): 2964] [Cardiology ($): 3565] [EEG ($): 3428] [Chemotherapy (%BC): 62.33 Maximum Reimbursement 70450] [Nuclear Medicine ($): 3318] [Radiation Therapy ($): 3385] [CT Scan OP ($): 2355] [MRI OP (%BC): 54.96 Maximum Reimbursement 30288] [Positron Emission Tomography ($): 10749] [Laboratory (%BC): 56.66 Maximum Reimbursement 6282] [Occupational Therapy (%BC): 56.66 Maximum Reimbursement 9239] [Physical Therapy (%BC): 56.66] [Speech Therapy (%BC): 56.66] [OP High Cost Drugs ($): FEE SCHEDULE] [Other Pharmacy ($): FEE SCHEDULE] [Other Outpatient Implant (%BC): 40] [IV Therapy (%BC): 58.15 Maximum Reimbursement 30288] [All Other OP (%BC): 52.88 Maximum Reimbursement 17120],7140,6614.11,7516.86,13,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Bcbs,Tier 1 All Commercial Plans,,,[Lesser Than Charges paid at %: 100] [OP Surg. Group 1 ($): FEE SCHEDULE] [OP Surg. Group 2  (%BC): 43.73 Maximum Reimbursement 14282] [OP Surg. Group 3  (%BC): 43.73 Maximum Reimbursement 14282] [OP Surg. Group 4  (%BC): 43.73 Maximum Reimbursement 14282] [OP Surg. Group 5 ($): FEE SCHEDULE] [OP Surg. Group 6 ($): FEE SCHEDULE] [OP Surg. Group 7 ($): FEE SCHEDULE] [OP Surg. Group 8 ($): FEE SCHEDULE] [OP Surg. Group 9 ($): FEE SCHEDULE] [OP Surg. Group 10 ($): FEE SCHEDULE] [OP Surg. Ungroupable ($): 9256] [Cardiac Cath ($): 12288] [Lithotripsy ($): 9830] [PTCA (%BC): 46.55 Maximum Reimbursement 65232] [Observation (%BC): 47.97 Maximum Reimbursement 15852] [Emergency Department ($): 2745] [Cardiology ($): 3300] [EEG ($): 3172] [Chemotherapy (%BC): 57.69 Maximum Reimbursement 65232] [Nuclear Medicine ($): 3071] [Radiation Therapy ($): 3134] [CT Scan OP ($): 2181] [MRI OP (%BC): 50.89 Maximum Reimbursement 28044] [Positron Emission Tomography ($): 9953] [Laboratory (%BC): 52.46 Maximum Reimbursement 5816] [Occupational Therapy (%BC): 52.46 Maximum Reimbursement 8554] [Physical Therapy (%BC): 52.46] [Speech Therapy (%BC): 52.46] [OP High Cost Drugs ($): FEE SCHEDULE] [Other Pharmacy ($): FEE SCHEDULE] [Other Outpatient Implant (%BC): 40] [IV Therapy (%BC): 53.84 Maximum Reimbursement 28044] [All Other OP (%BC): 48.98 Maximum Reimbursement 15852],6848.6,5700.24,7514.97,15,other,,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Cigna,Hmo,,45,,11803.67,10026.49,12287.48,1 through 10,percent of total billed charges,,,
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Cigna,Baycare Other Commercial Plan,,,[Lesser Than Charges paid at %: 100] [OP Surgery  (%BC): 80] [Lithotripsy ($): 7480] [Observation (%BC): 80 Maximum Reimbursement 4400] [Emergency Department (%BC): 80 Maximum Reimbursement 1900] [CT Scan OP ($): 522] [MRI OP ($): 1250] [Positron Emission Tomography ($): 2090] [Occupational Therapy ($): 85] [Physical Therapy ($): 85] [Respiratory Services/Therapy  (%BC): 80] [Speech Therapy ($): 85] [OP High Cost Drugs (%BC): 70] [Other Outpatient Implant (%BC): 70] [All Other OP (%BC): 80],,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Cigna,Ppo,,60,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Community Care Plan,Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Community Care Plan,Healthy Kids Medicaid Managed Care Plan,,,"[Outpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]",,,,0,other,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Evolutions Healthcare,Prime Other Commercial Plan,,70,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Evolutions Healthcare,Select Ppo,,90,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
