"hospital_name","last_updated_on","version","location_name","hospital_address","type_2_npi","license_number|MD","To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.","attester_name"
"The Johns Hopkins Hospital","2026-04-01","3.0.0","The Johns Hopkins Hospital","600 North  Wolfe Street, Baltimore, MD 21287","1578597993","30034","true","Ed Beranek"
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","billing_class","setting","drug_unit_of_measurement","drug_type_of_measurement","modifiers","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|methodology","standard_charge|min","standard_charge|max","additional_generic_notes"
"New Technology - Level 22 ($2001-$2500)","1522","APC","","","","","facility","outpatient","","","","","","Usfhp","Prime Tricare Government","","100","","10730.72","10320.74","15977","1 through 10","percent of total billed charges","","",""
"New Technology - Level 22 ($2001-$2500)","1522","APC","","","","","facility","outpatient","","","","","","Wellcare","Advantage Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 22 ($2001-$2500)","1522","APC","","","","","facility","outpatient","","","","","","Wellpoint","Medicaid Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Aetna","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Alterwood","Advantage  Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Amerigroup","Medicaid Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Bcbs","All Commercial Plans","","100","","21867.53","21867.53","21867.53","1 through 10","percent of total billed charges","","",""
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Bcbs","Carefirst Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Bcbs","Carefirst Other Commercial Plan","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Cigna","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Ehp","Medicare Managed Care Plan","","92.3","","18050.15","18050.15","18050.15","1 through 10","percent of total billed charges","","",""
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Ehp","Employee","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Geisinger","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Health Net","Federal Services Tricare Government","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Hopkins","Elderplus Other Commercial Plan","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Humana","Military Tricare Government","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Humana","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Kaiser","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Keycare","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Keystone Health","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Maryland Physicians Care","Medicaid Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Medicare","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Multiplan","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Nalc","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Phcs","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Priority Partners","Medicaid Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Unitedhealthcare","Medicaid Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Unitedhealthcare","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Unitedhealthcare","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Usfhp","Prime Tricare Government","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Wellcare","Advantage Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 39 ($15,001-$20,000)","1576","APC","","","","","facility","outpatient","","","","","","Wellpoint","Medicaid Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Aetna","All Commercial Plans","","100","","26260.92","26260.92","26260.92","1 through 10","percent of total billed charges","","",""
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","","92.3","","16280.97","16280.97","16280.97","1 through 10","percent of total billed charges","","",""
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Alterwood","Advantage  Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Amerigroup","Medicaid Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Bcbs","Carefirst Other Commercial Plan","","100","","26230.41","26230.41","26230.41","1 through 10","percent of total billed charges","","",""
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Bcbs","Carefirst Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Bcbs","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Cigna","All Commercial Plans","","100","","23608.43","23608.43","23608.43","1 through 10","percent of total billed charges","","",""
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Ehp","Medicare Managed Care Plan","","92.3","","23339.7","23339.7","23339.7","1 through 10","percent of total billed charges","","",""
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Ehp","Employee","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Geisinger","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Health Net","Federal Services Tricare Government","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Hopkins","Elderplus Other Commercial Plan","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Humana","Military Tricare Government","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Humana","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","","92.3","","22270.61","22270.61","22270.61","1 through 10","percent of total billed charges","","",""
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Kaiser","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Keycare","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Keystone Health","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Maryland Physicians Care","Medicaid Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Medicare","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Multiplan","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"Brachytx, non-stranded,I-125","2639","APC","","","","","facility","outpatient","","","","","","Nalc","All Commercial Plans","","100","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
